A01.378.610.100         Buttocks
A01.378.610.250         Foot
A01.378.610.400         Hip
A01.378.610.450         Knee
A01.378.610.500         Leg
A01.378.610.750         Thigh
A01.378.800.075         Arm
A01.378.800.090         Axilla
A01.378.800.420         Elbow
A01.378.800.585         Forearm
A01.378.800.667         Hand
A01.378.800.750         Shoulder
A01.456.505.173         Cheek
A01.456.505.259         Chin
A01.456.505.420         Eye
A01.456.505.580         Forehead
A01.456.505.631         Mouth
A01.456.505.682         Nasolabial
A01.456.505.733         Nose
A01.456.505.750         Parotid
A01.456.505.875         Superficial
A01.456.830.150         Cranial
A01.456.830.165         Cranial
A01.456.830.200         Cranial
A01.923.047.025         Abdominal
A01.923.047.050         Abdominal
A01.923.047.365         Groin
A01.923.047.412         Inguinal
A01.923.047.849         Umbilicus
A01.923.176.519         Lumbosacral
A01.923.176.780         Sacrococcygeal
A01.923.600.500         Lesser
A01.923.600.600         Pelvic
A01.923.761.800         Thoracic
A01.923.761.850         Thoracic
A01.941.500.500         Allogeneic
A02.165.257.250         Ear
A02.165.257.625         Laryngeal
A02.165.308.410         Intervertebral
A02.165.308.538         Meniscus
A02.165.308.575         Palmar
A02.165.308.650         Plantar
A02.165.308.800         Triangular
A02.165.407.150         Cartilage,
A02.165.407.325         Costal
A02.165.407.500         Laryngeal
A02.165.407.550         Nasal
A02.513.514.100         Anterior
A02.513.514.162         Collateral
A02.513.514.287         Ligamentum
A02.513.514.350         Longitudinal
A02.513.514.475         Patellar
A02.513.514.538         Plantar
A02.513.514.600         Posterior
A02.513.514.800         Round
A02.513.901.500         Round
A02.513.901.750         Round
A02.513.901.875         Round
A02.633.567.050         Abdominal
A02.633.567.175         Back
A02.633.567.300         Deltoid
A02.633.567.400         Facial
A02.633.567.425         Gracilis
A02.633.567.450         Hamstring
A02.633.567.500         Laryngeal
A02.633.567.600         Masticatory
A02.633.567.650         Neck
A02.633.567.700         Oculomotor
A02.633.567.750         Palatal
A02.633.567.775         Pectoralis
A02.633.567.800         Pharyngeal
A02.633.567.825         Psoas
A02.633.567.850         Quadriceps
A02.633.567.900         Respiratory
A02.633.567.912         Rotator
A02.633.567.950         Stapedius
A02.633.567.975         Tensor
A02.633.570.210         Esophageal
A02.633.570.491         Muscle,
A02.633.570.500         Myometrium
A02.633.580.680         Papillary
A02.835.232.022         Bone-Implant
A02.835.232.043         Bones
A02.835.232.087         Bones
A02.835.232.169         Diaphyses
A02.835.232.251         Epiphyses
A02.835.232.409         Hyoid
A02.835.232.570         Rib
A02.835.232.730         Sesamoid
A02.835.232.781         Skull
A02.835.232.834         Spine
A02.835.583.032         Acromioclavicular
A02.835.583.097         Atlanto-Axial
A02.835.583.101         Atlanto-Occipital
A02.835.583.156         Bursa,
A02.835.583.192         Cartilage,
A02.835.583.290         Elbow
A02.835.583.378         Foot
A02.835.583.405         Hand
A02.835.583.411         Hip
A02.835.583.443         Joint
A02.835.583.475         Knee
A02.835.583.512         Ligaments,
A02.835.583.656         Pubic
A02.835.583.707         Sacroiliac
A02.835.583.748         Shoulder
A02.835.583.781         Sternoclavicular
A02.835.583.790         Sternocostal
A02.835.583.861         Temporomandibular
A02.835.583.979         Zygapophyseal
A03.159.183.079         Bile
A03.159.183.158         Bile
A03.556.124.369         Intestinal
A03.556.124.526         Intestine,
A03.556.124.684         Intestine,
A03.556.249.124         Ileum
A03.556.249.249         Intestine,
A03.556.249.750         Jejunum
A03.556.500.379         Dentition
A03.556.500.760         Salivary
A03.556.500.885         Tongue
A03.556.875.249         Duodenum
A03.556.875.500         Esophagus
A03.556.875.875         Stomach
A03.620.150.125         Bile
A03.734.414.065         Glucagon-Secreting
A03.734.414.131         Insulin-Secreting
A03.734.414.587         Pancreatic
A03.734.414.793         Somatostatin-Secreting
A03.734.667.500         Ampulla
A04.329.364.737         Vocal
A04.329.591.085         Arytenoid
A04.329.591.211         Cricoid
A04.329.591.411         Epiglottis
A04.329.591.870         Thyroid
A04.329.597.320         Goblet
A04.411.125.500         Bronchioles
A04.411.715.100         Alveolar
A04.411.715.200         Blood-Air
A04.531.520.320         Goblet
A04.531.520.573         Olfactory
A04.531.591.469         Vomer
A04.531.621.267         Ethmoid
A04.531.621.387         Frontal
A04.531.621.578         Maxillary
A04.531.621.827         Sphenoid
A04.623.490.600         Pyriform
A04.623.557.500         Adenoids
A04.623.603.925         Palatine
A04.623.617.360         Esophageal
A04.623.617.680         Velopharyngeal
A04.760.600.640         Olfactory
