A01.378.610.250.300.480         Metatarsus
A01.378.610.250.300.792         Toes
A01.378.800.667.430.705         Thumb
A01.456.505.420.504.421         Eyelashes
A01.923.047.025.600.225         Douglas'
A01.923.047.025.600.451         Mesentery
A01.923.047.025.600.573         Omentum
A01.923.047.025.600.678         Peritoneal
A01.923.047.025.600.700         Peritoneal
A02.835.232.043.300.492         Metatarsal
A02.835.232.043.300.710         Tarsal
A02.835.232.043.300.800         Toe
A02.835.232.043.650.247         Femur
A02.835.232.043.650.321         Fibula
A02.835.232.043.650.624         Patella
A02.835.232.043.650.883         Tibia
A02.835.232.043.825.108         Acetabulum
A02.835.232.043.825.434         Ilium
A02.835.232.043.825.548         Ischium
A02.835.232.043.825.781         Pubic
A02.835.232.087.090.400         Humerus
A02.835.232.087.090.700         Radius
A02.835.232.087.090.850         Ulna
A02.835.232.087.319.150         Carpal
A02.835.232.087.319.350         Finger
A02.835.232.087.319.550         Metacarpal
A02.835.232.087.783.261         Acromion
A02.835.232.087.783.356         Coracoid
A02.835.232.087.783.450         Glenoid
A02.835.232.570.500.150         Cervical
A02.835.232.570.750.442         Manubrium
A02.835.232.570.750.825         Xiphoid
A02.835.232.781.324.502         Jaw
A02.835.232.781.324.665         Nasal
A02.835.232.781.324.690         Orbit
A02.835.232.781.324.948         Turbinates
A02.835.232.781.324.971         Vomer
A02.835.232.781.324.995         Zygoma
A02.835.232.781.572.434         Foramen
A02.835.232.781.750.150         Cranial
A02.835.232.781.750.165         Cranial
A02.835.232.781.750.400         Cranial
A02.835.232.781.802.662         Sella
A02.835.232.781.885.444         Mastoid
A02.835.232.781.885.681         Petrous
A02.835.232.834.151.383         Axis,
A02.835.232.834.151.500         Cervical
A02.835.232.834.432.250         Annulus
A02.835.232.834.432.500         Nucleus
A02.835.232.834.803.350         Epidural
A02.835.583.378.531.500         Plantar
A02.835.583.378.831.780         Subtalar
A02.835.583.378.900.500         Plantar
A02.835.583.405.500.900         Palmar
A02.835.583.405.930.800         Triangular
A02.835.583.443.800.800         Synovial
A02.835.583.512.162.250         Collateral
A02.835.583.512.162.500         Lateral
A02.835.583.512.162.600         Medial
A03.159.183.079.300.950         Ampulla
A03.556.124.526.209.290         Appendix
A03.556.124.526.356.333         Colon,
A03.556.124.526.356.500         Colon,
A03.556.124.526.356.668         Colon,
A03.556.124.526.356.834         Colon,
A03.556.124.684.124.236         Ampulla
A03.556.124.684.124.322         Brunner
A03.556.124.684.249.400         Ileocecal
A03.556.124.684.249.612         Meckel
A03.556.249.249.209.290         Appendix
A03.556.249.249.356.333         Colon,
A03.556.249.249.356.500         Colon,
A03.556.249.249.356.668         Colon,
A03.556.249.249.356.834         Colon,
A03.556.875.249.160.572         Sphincter
A03.556.875.500.414.350         Esophageal
A03.556.875.875.330.350         Esophageal
A03.556.875.875.440.150         Chief
A03.556.875.875.440.250         Enterochromaffin
A03.556.875.875.440.300         Gastrin-Secreting
A03.556.875.875.440.708         Parietal
A03.556.875.875.440.854         Somatostatin-Secreting
