A01.378.610.250.300.792.380         Hallux
A01.923.047.025.600.451.535         Mesocolon
A02.835.232.043.300.710.300         Calcaneus
A02.835.232.043.300.710.780         Talus
A02.835.232.043.650.247.343         Femur
A02.835.232.043.650.247.510         Femur
A02.835.232.087.090.400.400         Humeral
A02.835.232.087.090.850.600         Olecranon
A02.835.232.087.319.150.150         Capitate
A02.835.232.087.319.150.400         Hamate
A02.835.232.087.319.150.500         Lunate
A02.835.232.087.319.150.600         Pisiform
A02.835.232.087.319.150.750         Scaphoid
A02.835.232.087.319.150.800         Trapezium
A02.835.232.087.319.150.805         Trapezoid
A02.835.232.087.319.150.831         Triquetrum
A02.835.232.781.324.502.125         Alveolar
A02.835.232.781.324.502.320         Dental
A02.835.232.781.324.502.632         Mandible
A02.835.232.781.324.502.645         Maxilla
A02.835.232.781.324.502.660         Palate,
A02.835.232.834.151.383.668         Odontoid
A03.159.183.079.300.950.600         Sphincter
A03.556.124.684.124.236.572         Sphincter
